Country,pm25_avg,pm10_avg,co2_avg,ren_avg,death_rate
Bangladesh,71.25,118.375,0.48598106125,0.7865631875,66.0
Bulgaria,28.333333333333332,42.0,6.5545468,10.402521,63.0
Chile,36.63157894736842,65.15789473684211,4.593699131578948,19.437884526315788,18.0
China,50.37455830388693,85.65724381625442,6.990350860777385,10.83387351590106,64.0
Colombia,35.666666666666664,58.666666666666664,1.9508537,25.465654,24.0
Croatia,35.5,54.5,4.370736,22.794458,31.0
India,83.09375,146.875,1.748289496875,6.36935998125,83.0
Indonesia,39.0,70.5,1.9972601499999998,5.2586952,58.0
Iran,36.906976744186046,84.76744186046511,7.691138186046511,1.3448815697674419,51.0
Israel,28.0,66.66666666666667,7.815259,1.2694155,15.0
Italy,28.142857142857142,35.714285714285715,5.945927328571429,16.490160142857142,15.0
Kuwait,65.0,100.5,25.157695,0.01453594335,45.0
Mexico,34.5,83.0,4.1937428,5.6022654,30.0
Morocco,29.0,47.0,1.6253583,1.7804509,59.0
North Macedonia,40.0,69.0,3.368327,17.240671,62.0
Pakistan,79.33333333333333,306.8333333333333,0.7366645549999999,10.444472750000001,105.0
Peru,39.0,58.0,1.7072773,23.559713,26.0
Philippines,35.375,82.5,1.0993479125,14.014419625,92.0
Poland,29.11764705882353,37.35294117647059,8.432803764705882,5.907810588235294,41.0
Qatar,89.0,160.0,49.15157,0.007277364,91.0
Saudi Arabia,65.5,164.25,20.88899975,0.004091118175,91.0
South Africa,37.833333333333336,70.16666666666667,8.657637833333334,0.7216189766666666,47.0
Thailand,28.0,41.0,3.9282057,4.201601,29.0
Turkey,31.8,58.4,4.9668326,13.98593,39.0
Vietnam,45.0,96.0,2.3513482,18.652882,52.0
