Country,City/Town,Year,PM2.5,PM10,CO₂ emissions per capita,Renewables,pm25_normalized,pm10_normalized,co2_normalized,ren_normalized,risk_score,risk_category
India,Kanpur,2016,173,319,1.7504745,6.369765,1.0,1.0,0.17504745,0.7507226513779872,78.51540202755976,Very High Risk
India,Faridabad,2016,172,316,1.7504745,6.369765,1.0,1.0,0.17504745,0.7507226513779872,78.51540202755976,Very High Risk
India,Gaya,2016,149,275,1.7504745,6.369765,0.9933333333333333,1.0,0.17504745,0.7507226513779872,78.24873536089308,Very High Risk
India,Varanasi,2016,146,260,1.7504745,6.369765,0.9733333333333334,1.0,0.17504745,0.7507226513779872,77.44873536089308,Very High Risk
India,Patna,2016,144,266,1.7504745,6.369765,0.96,1.0,0.17504745,0.7507226513779872,76.91540202755975,Very High Risk
India,Delhi,2016,143,292,1.7504745,6.369765,0.9533333333333334,1.0,0.17504745,0.7507226513779872,76.64873536089308,Very High Risk
India,Lucknow,2016,138,255,1.7504745,6.369765,0.92,1.0,0.17504745,0.7507226513779872,75.31540202755976,Very High Risk
India,Agra,2016,131,194,1.7504745,6.369765,0.8733333333333333,0.776,0.17504745,0.7507226513779872,68.96873536089308,High Risk
India,Gurgaon,2016,120,124,1.7504745,6.369765,0.8,0.496,0.17504745,0.7507226513779872,60.435402027559746,High Risk
India,Muzaffarpur,2016,120,221,1.7504745,6.369765,0.8,0.884,0.17504745,0.7507226513779872,68.19540202755977,High Risk
Pakistan,Peshawar,2010,111,540,0.7403367,10.435932,0.74,1.0,0.07403367,0.5915266621682683,62.91120664336537,High Risk
Pakistan,Rawalpindi,2010,107,448,0.7403367,10.435932,0.7133333333333334,1.0,0.07403367,0.5915266621682683,61.84453997669871,High Risk
India,Jaipur,2016,105,193,1.7504745,6.369765,0.7,0.772,0.17504745,0.7507226513779872,61.95540202755975,High Risk
India,Patiala,2016,101,184,1.7504745,6.369765,0.6733333333333333,0.736,0.17504745,0.7507226513779872,60.16873536089308,High Risk
