Unnamed: 0,Position,Country,City/Town,Year,PM2.5,Temporal coverage,PM10,Temporal coverage.1,Database version (year),Entity,Code,CO₂ emissions per capita
0,1,India,Kanpur,2016,173,>75%,319,,2018,India,IND,1.7504745
1,2,India,Faridabad,2016,172,>75%,316,,2018,India,IND,1.7504745
2,3,India,Gaya,2016,149,50% -< 75%,275,,2018,India,IND,1.7504745
3,4,India,Varanasi,2016,146,>75%,260,,2018,India,IND,1.7504745
4,5,India,Patna,2016,144,>75%,266,,2018,India,IND,1.7504745
5,6,India,Delhi,2016,143,>75%,292,,2018,India,IND,1.7504745
6,7,India,Lucknow,2016,138,>75%,255,,2018,India,IND,1.7504745
7,8,Cameroon,Bamenda,2012,132,,141,,2016,Cameroon,CMR,0.3655555
8,9,India,Agra,2016,131,>75%,194,,2018,India,IND,1.7504745
9,10,India,Gurgaon,2016,120,50% -< 75%,124,,2018,India,IND,1.7504745
10,11,India,Muzaffarpur,2016,120,>75%,221,,2018,India,IND,1.7504745
11,12,Pakistan,Peshawar,2010,111,,540,,2016,Pakistan,PAK,0.7403367
12,13,Pakistan,Rawalpindi,2010,107,,448,,2016,Pakistan,PAK,0.7403367
13,14,India,Jaipur,2016,105,50% -< 75%,193,,2018,India,IND,1.7504745
14,15,Uganda,Kampala,2013,104,,170,,2016,Uganda,UGA,0.10624911
15,16,India,Patiala,2016,101,,184,,2018,India,IND,1.7504745
16,17,India,Jodhpur,2016,98,>75%,180,,2018,India,IND,1.7504745
17,18,Bangladesh,Narayanganj,2015,94,>75%,205,>75%,2018,Bangladesh,BGD,0.48277447
18,19,China,Baoding,2016,93,,147,,2018,China,CHN,6.9428844
19,20,Qatar,Doha,2012,93,,168,,2016,Qatar,QAT,49.15157
20,21,Mongolia,Ulaanbaatar,2016,92,>75%,197,,2018,Mongolia,MNG,8.42837
21,22,China,Jinan,2014,90,,192,,2018,China,CHN,7.187588
22,23,China,Shijiazhuang,2015,89,,147,,2018,China,CHN,7.0609546
23,24,Pakistan,Karachi,2009,88,,290,,2016,Pakistan,PAK,0.76323503
24,25,China,Hengshui,2016,87,,143,,2018,China,CHN,6.9428844
25,26,China,Xingtai,2016,87,,186,,2018,China,CHN,6.9428844
26,27,China,Anyang,2016,86,,155,,2018,China,CHN,6.9428844
27,28,China,Liaocheng,2016,86,,151,,2018,China,CHN,6.9428844
28,29,China,Jiaozuo,2016,85,,142,,2018,China,CHN,6.9428844
29,30,Qatar,Al Wakrah,2012,85,,152,,2016,Qatar,QAT,49.15157
30,31,Bangladesh,Khulna,2015,84,50% -< 75%,94,>75%,2018,Bangladesh,BGD,0.48277447
31,32,China,Xinxiang,2016,84,,144,,2018,China,CHN,6.9428844
32,33,India,Nagpur,2016,84,,86,,2018,India,IND,1.7504745
33,34,China,Handan,2016,82,,175,,2018,China,CHN,6.9428844
34,35,China,Heze,2016,82,,143,,2018,China,CHN,6.9428844
35,36,China,Ji'ning,2015,82,,140,,2018,China,CHN,7.0609546
36,37,China,Xianyang,2016,82,,149,,2018,China,CHN,6.9428844
37,38,Bangladesh,Gazipur,2015,81,>75%,143,>75%,2018,Bangladesh,BGD,0.48277447
38,39,China,Dezhou,2016,81,,141,,2018,China,CHN,6.9428844
39,40,China,Zaozhuang,2016,81,,141,,2018,China,CHN,6.9428844
40,41,Bangladesh,Barisal,2015,80,>75%,113,>75%,2018,Bangladesh,BGD,0.48277447
41,42,China,Dongying,2015,79,,136,,2018,China,CHN,7.0609546
42,43,China,Luoyang,2016,79,,130,,2018,China,CHN,6.9428844
43,44,Kuwait,Al-Ahmadi,2015,79,>75%,138,>75%,2018,Kuwait,KWT,24.336504
44,45,China,Shouguang,2014,78,,117,,2016,China,CHN,7.187588
45,46,China,Zhengzhou,2016,78,,143,,2018,China,CHN,6.9428844
46,47,China,Luohe,2016,77,,130,,2018,China,CHN,6.9428844
47,48,China,Shangqiu,2016,77,,127,,2018,China,CHN,6.9428844
48,49,China,Weinan,2016,76,,139,,2018,China,CHN,6.9428844
49,50,China,Pingdingshan,2016,75,,125,,2018,China,CHN,6.9428844
50,51,Saudi Arabia,Yanbu,2017,75,>75%,116,>75%,2018,Saudi Arabia,SAU,20.936852
51,52,China,Linfen,2016,74,,158,,2018,China,CHN,6.9428844
52,53,China,Tangshan,2016,74,,127,,2018,China,CHN,6.9428844
53,54,China,Urumqi,2016,74,,115,,2018,China,CHN,6.9428844
54,55,India,Kolkata,2016,74,>75%,136,,2018,India,IND,1.7504745
55,56,China,Beijing,2016,73,,92,,2018,China,CHN,6.9428844
56,57,China,Hebi,2016,73,,128,,2018,China,CHN,6.9428844
57,58,China,Jinan,2016,73,,141,,2018,China,CHN,6.9428844
58,59,China,Laiwu,2016,73,,127,,2018,China,CHN,6.9428844
59,60,China,Zigong,2016,73,,99,,2018,China,CHN,6.9428844
60,61,Saudi Arabia,Riyadh,2016,73,,251,,2018,Saudi Arabia,SAU,20.873049
61,62,China,Anshan,2015,72,,115,,2018,China,CHN,7.0609546
62,63,China,Kaifeng,2016,72,,122,,2018,China,CHN,6.9428844
63,64,China,Xi'an,2016,71,,137,,2018,China,CHN,6.9428844
